School Name,City,Website,Enrollment,Admission Rate (%),Average SAT,Average ACT,Tuition (In State),Tuition (Out of State),Published Cost (Academic Year),Average Net Price,Room & Board (On Campus),Books & Supplies,Other On-Campus Expenses,Other Off-Campus w/Family,Median Debt at Graduation,Median Earnings 10y After Entry,IPEDS ID,OPE8 ID,Data Coverage
Bais Medrash Mayan Hatorah,Lakewood,https://baismedrashmayanhatorah.com/,25.0,66.67,,,12000.0,12000.0,18400.0,,2400.0,300.0,6000.0,,,,490513,04266000,Partial data
Bais Medrash Toras Chesed,Lakewood,www.bmtc.edu/,125.0,63.01,,,8100.0,8100.0,13700.0,,4400.0,400.0,1100.0,,,,449658,04081300,Partial data
Beth Medrash of Asbury Park,Lakewood,https://baismedrashzichronmeir.com/,109.0,42.31,,,12010.0,12010.0,18810.0,,2800.0,300.0,6000.0,,,,488314,04251500,Partial data
Bloomfield College of Montclair State University,Bloomfield,www.bloomfield.edu/,901.0,67.23,,,30680.0,30680.0,44298.0,,12900.0,1410.0,2952.0,,26746.0,45902.0,183822,00259700,Partial data
Caldwell University,Caldwell,https://www.caldwell.edu/,1437.0,65.4,,,39450.0,39450.0,53586.0,,13774.0,2600.0,3500.0,,25000.0,53843.0,183910,00259800,Partial data
Centenary University,Hackettstown,www.centenaryuniversity.edu/,934.0,96.68,,19.0,37732.0,37732.0,51351.0,,12552.0,1000.0,3960.0,,23163.0,53726.0,183974,00259900,Partial data
Drew University,Madison,www.drew.edu/,1510.0,69.44,1247.0,,45360.0,45360.0,61378.0,,17640.0,2035.0,3460.0,,25288.0,63646.0,184348,00260300,Partial data
Fairleigh Dickinson University-Florham Campus,Madison,https://www.fdu.edu/,1958.0,95.27,,,35822.0,35822.0,52840.0,,16102.0,1576.0,5014.0,,25000.0,57273.0,184694,00260701,Partial data
Fairleigh Dickinson University-Metropolitan Campus,Teaneck,https://www.fdu.edu/,2578.0,95.91,,,35822.0,35822.0,47791.0,,16102.0,1576.0,5014.0,,25000.0,57273.0,184603,00260700,Partial data
Felician University,Lodi,https://www.felician.edu/,1754.0,94.01,1020.0,20.0,37830.0,37830.0,50346.0,,14190.0,1000.0,1430.0,,25000.0,57602.0,184612,00261000,Partial data
Georgian Court University,Lakewood,https://georgian.edu/,1174.0,70.52,,25.0,37110.0,37110.0,49198.0,,12910.0,1200.0,4700.0,,21816.0,53096.0,184773,00260800,Partial data
JFK Muhlenberg Harold B. and Dorothy A. Snyder Schools,Plainfield,www.jfkmuhlenbergschools.org/,572.0,96.22,,,24916.0,31336.0,39193.0,,6384.0,789.0,10281.0,,21000.0,73894.0,185679,00642100,Partial data
Kean University,Union,https://www.kean.edu/,10842.0,76.88,1150.0,20.0,13426.0,21076.0,24924.0,,16592.0,1200.0,3212.0,,23250.0,57237.0,185262,00262200,Partial data
Keser Torah-Mayan Hatalmud,Lakewood,www.mayanhatalmud.org/,59.0,71.43,,,11060.0,11060.0,16600.0,,1540.0,300.0,6000.0,,,,461847,04180300,Partial data
Monmouth University,West Long Branch,https://www.monmouth.edu/,3831.0,89.54,1204.0,24.0,44850.0,44850.0,60113.0,,17738.0,1000.0,4336.0,,27000.0,67991.0,185572,00261600,Partial data
Montclair State University,Montclair,www.montclair.edu/,17677.0,87.41,1080.0,,14766.0,24126.0,25926.0,,16822.0,1240.0,2200.0,,22000.0,61415.0,185590,00261700,Partial data
New Jersey City University,Jersey City,https://www.njcu.edu/,4076.0,89.18,,,13971.0,24888.0,23668.0,,16274.0,1236.0,4808.0,,18500.0,52745.0,185129,00261300,Partial data
New Jersey Institute of Technology,Newark,https://www.njit.edu/,8762.0,66.9,1336.0,30.0,19022.0,35934.0,32228.0,,15000.0,2750.0,4580.0,,21000.0,84276.0,185828,00262100,Partial data
Princeton University,Princeton,www.princeton.edu/,5579.0,4.5,1535.0,34.0,59710.0,59710.0,80440.0,,19380.0,1050.0,3900.0,,10320.0,110066.0,186131,00262700,Partial data
Rabbi Jacob Joseph School,Edison,https://rabbijacobjoseph.com/,96.0,90.32,,,12700.0,12700.0,20300.0,,3600.0,300.0,6000.0,,,,384421,03077500,Partial data
Rabbinical College of America,Morristown,www.rca.edu/,197.0,87.14,,,13000.0,13000.0,25000.0,,8000.0,300.0,6000.0,,,34990.0,186186,00860900,Partial data
Rabbinical Seminary Mkor Chaim,Lakewood,https://www.mkorchaim.org/,81.0,100.0,,,8450.0,8450.0,15450.0,,3000.0,300.0,6000.0,,,,194718,00861700,Partial data
Ramapo College of New Jersey,Mahwah,www.ramapo.edu/,4664.0,73.22,1190.0,26.0,15978.0,26388.0,30176.0,,15834.0,1226.0,1712.0,,21000.0,67541.0,186201,00934400,Partial data
Rider University,Lawrenceville,www.rider.edu/,3192.0,79.4,1219.0,30.0,38900.0,38900.0,53982.0,,16730.0,1500.0,2000.0,,26130.0,62208.0,186283,00262800,Partial data
Rowan University,Glassboro,https://www.rowan.edu/,14647.0,77.82,1216.0,27.0,15700.0,25564.0,34116.0,,16553.0,1665.0,5424.0,,20500.0,59988.0,184782,00260900,Partial data
Rutgers University-Camden,Camden,https://camden.rutgers.edu/,3819.0,77.75,1118.0,21.0,17079.0,35841.0,33812.0,,13389.0,1391.0,4372.0,,21500.0,74479.0,186371,00262901,Partial data
Rutgers University-New Brunswick,New Brunswick,https://newbrunswick.rutgers.edu/,36357.0,65.35,1383.0,30.0,17239.0,36001.0,35232.0,,14715.0,1391.0,4372.0,,21500.0,74479.0,186380,00262900,Partial data
Rutgers University-Newark,Newark,https://www.newark.rutgers.edu/,7187.0,78.73,,25.0,16586.0,35348.0,33749.0,,15060.0,1391.0,4372.0,,21500.0,74479.0,186399,00262902,Partial data
Saint Elizabeth University,Morristown,www.steu.edu/,636.0,77.21,,,35942.0,35942.0,52328.0,,13126.0,1700.0,4000.0,,24934.0,53038.0,186618,00260000,Partial data
Saint Peter's University,Jersey City,www.saintpeters.edu/,1939.0,90.53,,23.0,41054.0,41054.0,50052.0,,17590.0,1000.0,1300.0,,20500.0,57815.0,186432,00263800,Partial data
Seton Hall University,South Orange,https://www.shu.edu/,5924.0,78.9,1308.0,29.0,51370.0,51370.0,64996.0,,17350.0,1000.0,3000.0,,22750.0,70196.0,186584,00263200,Partial data
Stevens Institute of Technology,Hoboken,www.stevens.edu/,4084.0,43.44,1447.0,33.0,60952.0,60952.0,76449.0,,18650.0,1200.0,1050.0,,27000.0,108772.0,186867,00263900,Partial data
Stockton University,Galloway,https://www.stockton.edu/,7770.0,88.17,1171.0,25.0,15532.0,23420.0,32159.0,,15332.0,1250.0,6920.0,,20500.0,57602.0,186876,00934500,Partial data
Talmudical Academy-New Jersey,Adelphia,https://talmudicalacademynj.com/,78.0,41.67,,,15800.0,15800.0,21300.0,,3000.0,300.0,6000.0,,,40344.0,186900,01198900,Partial data
The College of New Jersey,Ewing,https://www.tcnj.edu/,6831.0,62.14,1247.0,29.0,18685.0,24568.0,37070.0,,15569.0,1200.0,4578.0,,23250.0,73323.0,187134,00264200,Partial data
William Paterson University of New Jersey,Wayne,www.wpunj.edu/,6526.0,92.52,,,15150.0,24464.0,26555.0,,15990.0,1600.0,3140.0,,22334.0,57780.0,187444,00262500,Partial data
Yeshiva Chemdas Hatorah,Lakewood,www.yeshivachemdashatorah.com/,79.0,75.0,,,12150.0,12150.0,19517.0,,3680.0,300.0,6000.0,,,,491622,04264900,Partial data
Yeshiva Gedola Tiferes Yaakov Yitzchok,Lakewood,yeshivatyy.com/,69.0,50.0,,,13700.0,13700.0,19900.0,,2200.0,300.0,6000.0,,,,493716,04280100,Partial data
Yeshiva Gedola Tiferes Yerachmiel,Lakewood,https://yeshivagedolatiferesyerachmiel.com/,172.0,42.62,,,9400.0,9400.0,14750.0,,1350.0,300.0,6000.0,,,,491914,04273800,Partial data
Yeshiva Gedolah Keren Hatorah,Lakewood,https://yeshivagedolahkerenhatorah.com/,189.0,95.0,,,9950.0,9950.0,15350.0,,1500.0,300.0,6000.0,,,,491640,04265300,Partial data
Yeshiva Gedolah Shaarei Shmuel,Lakewood,https://yeshivagedolahshaareishmuel.com/,132.0,53.0,,,9720.0,9720.0,16075.0,,2800.0,300.0,6000.0,,,,488350,04252000,Partial data
Yeshiva Gedolah Tiferes Boruch,North Plainfield,https://yeshivagedolahtiferesboruch.com/,70.0,100.0,,,9850.0,9850.0,15300.0,,1450.0,300.0,6000.0,,,,491613,04264400,Partial data
Yeshiva Gedolah Zichron Leyma,Union,https://www.yzl.edu/,47.0,70.59,,,11350.0,11350.0,17550.0,,2200.0,300.0,6000.0,,,,476692,04192400,Partial data
Yeshiva Gedolah of Woodlake Village,Lakewood,yeshivaohrzechariah.com/,79.0,95.45,,,9030.0,9030.0,14650.0,,1670.0,300.0,6000.0,,,,493707,04279600,Partial data
Yeshiva Toras Chaim,Lakewood,https://ytclakewood.com/,225.0,98.41,,,12750.0,12750.0,21574.0,,5400.0,300.0,6000.0,,,62526.0,451398,04131100,Partial data
